edit_index,original_index,ES,PS,NS,GE,Portability,S
0,13,1.0,1.0,0.5,6.141550447973573,,
1,37,1.0,1.0,0.1,6.042602060547857,,
2,84,1.0,1.0,1.0,6.289635001965848,,
3,181,1.0,1.0,0.0,6.193962971137572,,
4,200,1.0,1.0,0.7,6.418050222603483,,
5,253,1.0,1.0,0.5,6.23092167119855,,
6,307,1.0,1.0,0.2,6.154317183511564,,
7,699,1.0,1.0,0.1,6.282277530796152,,
8,800,1.0,1.0,1.0,6.291858953177888,,
9,812,1.0,1.0,1.0,6.301103256758827,,
10,860,1.0,1.0,0.9,6.176842720237836,,
11,1061,1.0,1.0,0.9,6.147772211048471,,
12,1232,1.0,1.0,1.0,6.1824563801507,,
13,1253,1.0,1.0,0.3,6.259685961750085,,
14,1255,1.0,1.0,0.7,6.150158101594387,,
15,1282,1.0,1.0,0.6,5.838206793917104,,
16,1306,1.0,1.0,0.6,6.3241821822345825,,
17,1319,1.0,1.0,0.9,6.297315935681844,,
18,1345,1.0,1.0,0.4,6.012222848780386,,
19,1387,1.0,1.0,0.0,6.318405643795294,,
20,1423,1.0,0.5,0.9,6.185015625741482,,
21,1431,1.0,1.0,1.0,6.099763955471003,,
22,1484,1.0,1.0,0.9,6.163937864571705,,
23,1507,1.0,1.0,0.2,6.284385619563853,,
24,1683,1.0,1.0,1.0,6.363723658241651,,
25,1709,1.0,1.0,0.2,6.1350848310270365,,
26,1745,1.0,1.0,0.9,6.215089503367007,,
27,1756,1.0,1.0,1.0,6.427930347853421,,
28,1863,1.0,1.0,0.7,6.006548934378467,,
29,1873,1.0,1.0,0.1,6.108667326069683,,
30,1929,1.0,1.0,0.4,6.395181410877837,,
31,1965,1.0,1.0,0.8,6.126124244598943,,
32,1993,1.0,1.0,0.6,6.117217689916744,,
33,1997,1.0,1.0,0.2,6.1012982121129316,,
34,2081,1.0,1.0,0.9,6.1231808123104905,,
35,2098,1.0,1.0,0.1,6.314951456501859,,
36,2226,1.0,0.5,0.8,6.189583827234967,,
37,2245,1.0,1.0,0.2,6.367054139534362,,
38,2287,1.0,1.0,1.0,6.161651703684204,,
39,2326,1.0,0.5,1.0,6.2362921776542635,,
40,2361,1.0,1.0,0.1,6.116731033147646,,
41,2386,1.0,1.0,0.5,6.278783054989769,,
42,2400,1.0,1.0,0.4,6.150656088115969,,
43,2427,1.0,1.0,1.0,6.128324412829954,,
44,2431,1.0,1.0,0.9,6.332176287419847,,
45,2458,1.0,1.0,0.3,6.318856035769757,,
46,2467,1.0,1.0,0.6,6.0656423794297165,,
47,2490,1.0,1.0,0.7,6.3046215152599725,,
48,2502,1.0,1.0,0.1,6.2814823778720505,,
49,2577,1.0,1.0,1.0,6.088870755964555,,
50,2660,1.0,1.0,1.0,6.180054597364335,,
51,2674,1.0,0.0,1.0,6.306114247543724,,
52,2683,1.0,1.0,0.9,6.0645575046560385,,
53,2763,1.0,0.5,1.0,5.873109328444309,,
54,2778,1.0,1.0,1.0,6.370309231473316,,
55,2805,1.0,1.0,0.0,6.0384534105346575,,
56,2825,1.0,1.0,1.0,6.144976374495606,,
57,2978,1.0,1.0,0.4,6.286371867708419,,
58,3024,1.0,0.5,1.0,6.223312750697555,,
59,3054,1.0,1.0,0.1,6.264950294440584,,
60,3056,1.0,1.0,0.1,6.186803313442631,,
61,3060,1.0,1.0,0.5,6.360875622207319,,
62,3164,1.0,1.0,0.3,6.319996327630915,,
63,3169,1.0,1.0,0.7,6.342886413664585,,
64,3276,1.0,1.0,0.4,6.117134114906954,,
65,3288,1.0,1.0,0.9,6.306542034975864,,
66,3293,1.0,1.0,1.0,6.334926132275989,,
67,3314,1.0,1.0,0.3,6.275202416589596,,
68,3396,1.0,0.5,0.8,6.407183257247854,,
69,3468,1.0,1.0,0.9,5.7625607697293315,,
70,3522,1.0,1.0,0.5,6.162921081160212,,
71,3537,1.0,1.0,0.7,6.249417100808171,,
72,3602,1.0,1.0,0.4,6.445323711460949,,
73,3655,1.0,1.0,0.6,5.6439718248792605,,
74,3729,1.0,1.0,0.9,6.300925801565226,,
75,3773,1.0,1.0,0.8,6.071836821729566,,
76,3779,1.0,1.0,0.8,6.3482959912307155,,
77,3858,1.0,0.0,0.8,6.223408776406987,,
78,3881,1.0,1.0,0.5,6.283849153460303,,
79,4068,1.0,0.5,0.5,6.392262120681863,,
80,4101,1.0,0.5,0.0,6.023689620917031,,
81,4170,1.0,1.0,1.0,6.4940718395465185,,
82,4225,1.0,1.0,0.7,6.276943841332516,,
83,4263,1.0,1.0,0.6,6.4176249012177085,,
84,4318,1.0,1.0,0.2,6.041304406648861,,
85,4369,1.0,1.0,0.6,6.2873129867562705,,
86,4508,1.0,1.0,0.9,6.125486548403065,,
87,4532,1.0,1.0,0.9,6.32363747398762,,
88,4547,1.0,1.0,0.3,6.237888578059502,,
89,4593,1.0,1.0,0.1,5.864862783417282,,
90,4689,1.0,1.0,1.0,6.138242585680041,,
91,4694,1.0,1.0,0.4,6.09843395588132,,
92,4704,1.0,1.0,0.0,6.272307964845345,,
93,4741,1.0,1.0,0.5,6.358608289451091,,
