layers,v_lr,v_num_grad_steps,Efficacy,Generalization,Locality,n_efficacy,n_generalization,n_locality,composite_score
15,0.5,20,0.9933333333333333,0.76,0.644,150,150,150,0.7741344316589529
15,0.5,30,0.9933333333333333,0.76,0.644,150,150,150,0.7741344316589529
15,0.5,40,0.9933333333333333,0.76,0.644,150,150,150,0.7741344316589529
15,0.1,20,0.9933333333333333,0.7033333333333334,0.7826666666666667,150,150,150,0.8094554123225244
15,0.1,30,0.9933333333333333,0.7166666666666667,0.77,150,150,150,0.8106439615934449
15,0.1,40,0.9933333333333333,0.72,0.7693333333333334,150,150,150,0.8118141718652322
15,0.05,20,0.9666666666666667,0.5316666666666666,0.864,150,150,150,0.736599793322168
15,0.05,30,1.0,0.6533333333333333,0.8253333333333334,150,150,150,0.8016580621288742
15,0.05,40,1.0,0.66,0.8226666666666667,150,150,150,0.8041363331183107
20,0.5,20,1.0,0.7933333333333333,0.45866666666666667,150,150,150,0.6755635747527312
20,0.5,30,1.0,0.7966666666666666,0.45866666666666667,150,150,150,0.6763668672154795
20,0.5,40,1.0,0.7966666666666666,0.45866666666666667,150,150,150,0.6763668672154795
20,0.1,20,0.9666666666666667,0.5933333333333334,0.7293333333333334,150,150,150,0.7333186164769925
20,0.1,30,1.0,0.6966666666666667,0.6793333333333333,150,150,150,0.7677664806872626
20,0.1,40,1.0,0.7133333333333334,0.6673333333333334,150,150,150,0.7691576682138183
20,0.05,20,0.77,0.34,0.8566666666666667,150,150,150,0.5548165251092604
20,0.05,30,0.9533333333333334,0.5216666666666666,0.7980000000000002,150,150,150,0.7110661441933461
20,0.05,40,0.9933333333333333,0.6016666666666667,0.7746666666666667,150,150,150,0.7576448127307682
24,0.5,20,0.9466666666666667,0.5933333333333334,0.6893333333333334,150,150,150,0.7155791629475898
24,0.5,30,0.9533333333333334,0.6216666666666667,0.6446666666666668,150,150,150,0.7128058982659679
24,0.5,40,0.9666666666666667,0.625,0.6473333333333334,150,150,150,0.7178266618175391
24,0.1,20,0.07,0.016666666666666666,0.9406666666666669,150,150,150,0.03981483969793878
24,0.1,30,0.3566666666666667,0.10666666666666667,0.8940000000000001,150,150,150,0.2256095991037692
24,0.1,40,0.7066666666666667,0.255,0.836,150,150,150,0.4592186854351964
24,0.05,20,0.01,0.006666666666666667,0.9740000000000002,150,150,150,0.011950920245398773
24,0.05,30,0.043333333333333335,0.013333333333333334,0.9533333333333334,150,150,150,0.03026455026455026
24,0.05,40,0.15666666666666668,0.03333333333333333,0.9313333333333337,150,150,150,0.08009246270386318
27,0.5,20,0.01,0.006666666666666667,0.9166666666666669,150,150,150,0.011947863866763215
27,0.5,30,0.01,0.006666666666666667,0.9306666666666666,150,150,150,0.011948644793152639
27,0.5,40,0.01,0.006666666666666667,0.9473333333333332,150,150,150,0.011949544498948843
27,0.1,20,0.01,0.006666666666666667,0.9853333333333334,150,150,150,0.011951482479784368
27,0.1,30,0.01,0.006666666666666667,0.9919999999999999,150,150,150,0.011951807228915663
27,0.1,40,0.01,0.006666666666666667,0.9953333333333334,150,150,150,0.011951967978652434
27,0.05,20,0.01,0.006666666666666667,0.9953333333333334,150,150,150,0.011951967978652434
27,0.05,30,0.01,0.006666666666666667,0.9973333333333333,150,150,150,0.011952063914780294
27,0.05,40,0.01,0.006666666666666667,0.9986666666666667,150,150,150,0.011952127659574468
